,1/6/2012,1/13/2012,1/20/2012,1/27/2012,2/3/2012,2/10/2012,2/17/2012,2/24/2012,3/2/2012,3/9/2012,3/16/2012,3/23/2012,3/30/2012,4/6/2012,4/13/2012,4/20/2012,4/27/2012,5/4/2012,5/11/2012,5/18/2012,5/25/2012,6/1/2012,6/8/2012,6/15/2012,6/22/2012,6/29/2012,7/6/2012,7/13/2012,7/20/2012,7/27/2012,8/3/2012,8/10/2012,8/17/2012,8/24/2012,8/31/2012,9/7/2012,9/14/2012,9/21/2012,9/28/2012,10/5/2012,10/12/2012,10/19/2012,10/26/2012,11/2/2012,11/9/2012,11/16/2012,11/23/2012,11/30/2012,12/7/2012,12/14/2012,12/21/2012,12/28/2012,1/4/2013,1/11/2013,1/18/2013,1/25/2013,2/1/2013,2/8/2013,2/15/2013,2/22/2013,3/1/2013,3/8/2013,3/15/2013,3/22/2013,3/29/2013,4/5/2013,4/12/2013,4/19/2013,4/26/2013,5/3/2013,5/10/2013,5/17/2013,5/24/2013,5/31/2013,6/7/2013,6/14/2013,6/21/2013,6/28/2013,7/5/2013,7/12/2013,7/19/2013,7/26/2013,8/2/2013,8/9/2013,8/16/2013,8/23/2013,8/30/2013,9/6/2013,9/13/2013,9/20/2013,9/27/2013,10/4/2013,10/11/2013,10/18/2013,10/25/2013,11/1/2013,11/8/2013,11/15/2013,11/22/2013,11/29/2013,12/6/2013,12/13/2013,12/20/2013,12/27/2013,1/3/2014,1/10/2014,1/17/2014,1/24/2014,1/31/2014,2/7/2014,2/14/2014,2/21/2014,2/28/2014,3/7/2014,3/14/2014,3/21/2014,3/28/2014,4/4/2014,4/11/2014,4/18/2014,4/25/2014,5/2/2014,5/9/2014,5/16/2014,5/23/2014,5/30/2014,6/6/2014,6/13/2014,6/20/2014,6/27/2014,7/4/2014,7/11/2014,7/18/2014,7/25/2014,8/1/2014,8/8/2014,8/15/2014,8/22/2014,8/29/2014,9/5/2014,9/12/2014,9/19/2014,9/26/2014,10/3/2014,10/10/2014,10/17/2014,10/24/2014,10/31/2014,11/7/2014,11/14/2014,11/21/2014,11/28/2014,12/5/2014,12/12/2014,12/19/2014,12/26/2014,1/2/2015,1/9/2015,1/16/2015,1/23/2015,1/30/2015,2/6/2015,2/13/2015,2/20/2015,2/27/2015,3/6/2015,3/13/2015,3/20/2015,3/27/2015,4/3/2015,4/10/2015,4/17/2015,4/24/2015,5/1/2015,5/8/2015,5/15/2015,5/22/2015,5/29/2015,6/5/2015,6/12/2015,6/19/2015,6/26/2015,7/3/2015,7/10/2015,7/17/2015,7/24/2015,7/31/2015,8/7/2015,8/14/2015,8/21/2015,8/28/2015,9/4/2015,9/11/2015,9/18/2015,9/25/2015,10/2/2015,10/9/2015,10/16/2015,10/23/2015,10/30/2015,11/6/2015,11/13/2015,11/20/2015,11/27/2015,12/4/2015,12/11/2015,12/18/2015,12/25/2015,1/1/2016,1/8/2016,1/15/2016,1/22/2016,1/29/2016,2/5/2016,2/12/2016,2/19/2016,2/26/2016,3/4/2016,3/11/2016,3/18/2016,3/25/2016,4/1/2016,4/8/2016,4/15/2016,4/22/2016,4/29/2016
ICPT    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8294,-4.7571,-1.4196,6.6667,7.5,-1.3488,10.1839,21.7373,21.5466,-0.694,-0.9901,0.3824,-0.7032,0.118,13.4394,3.7672,-6.5098,-1.339,5.3203,-4.6649,2.5953,-1.054,-1.0652,0.6729,-4.9733,-4.3894,-7.7693,10.402,-2.7457,-6.6865,5.7962,3.4317,-2.6775,0.628,-3.3878,20.1169,14.8271,-0.3122,14.1163,-1.0194,-9.289,-0.1747,-0.7874,-2.4471,-1.2203,4.6442,5.247,2.4927,29.5906,6.8189,0.8638,-12.8756,-7.2642,5.857,-9.3856,-8.2787,3.1856,1.9988,1.6104,10.1585,9.0657,-0.0795,5.3603,4.4233,544.5424,-34.305,0.8065,1.9069,16.8439,-1.4365,6.8281,10.895,0.1924,12.3927,-15.435,-18.7588,-8.4042,-8.5531,-9.7402,8.3507,0.7227,-10.1744,19.0721,-17.9976,2.9545,13.2539,2.3249,-0.372,-11.2344,1.0268,-9.2987,-1.5662,1.0424,3.6335,2.432,21.3555,0.8465,0.9091,-1.2288,0.7164,-10.4646,-4.7316,-0.5735,-16.4996,9.9706,5.881,8.7271,-33.2056,-5.7999,-4.7423,-7.1931,-0.0626,-4.1423,13.7555,-0.581,2.421,-5.9502,0.4267,10.0372,21.2778,-3.7258,8.0474,4.6745,1.133,20.2241,5.7263,3.4118,1.0069,-7.5874,2.8129,-1.5434,3.0043,-9.9612,8.4435,10.7442,-14.6197,-2.3962,-2.8939,-1.4164,7.9861,-3.0742,-5.6824,2.7118,12.0706,-1.6426,-3.384,-10.3673,-10.0736,-10.3179,-0.9177,-2.4345,7.1223,-1.7268,-12.4852,1.2365,5.7927,-0.3683,-7.3001,-6.4286,12.4046,2.4392,-5.7013,8.2313,-15.9684,-5.8168,6.7506,-1.2237,-3.1264,-9.99,-9.4696,-4.8398,-8.2722,-7.2673,22.0384,7.0205,-11.4721,10.1141,-6.5141,2.4648,4.8776,3.7778,19.5779,-4.285,5.3989,-4.4377
RARE    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8876,16.8659,34.3182,-5.6514,1.5513,5.9603,-8.25,-17.0027,10.8995,16.42,-27.8522,-17.1758,9.3901,-5.2127,-5.6635,2.1172,6.6742,-5.4579,3.9426,28.6643,-5.7696,12.4246,-14.5895,0.0698,0.2558,-0.8583,15.7932,9.1332,-3.1291,1.9878,1.6867,6.3767,-5.1975,4.5322,0.1399,-12.8841,-6.0922,7.1703,-6.3919,-4.8926,-6.2626,5.2016,-1.134,-7.4329,2.8005,16.6345,-8.9293,5.3109,16.5086,-1.4798,-1.9715,11.2814,-8.0895,1.3109,2.7172,-2.3394,9.1763,-3.4093,8.4396,-8.8624,9.9717,-0.0965,1.3035,10.6434,-14.1134,5.3159,25.9365,4.7769,4.6554,2.5747,-1.087,13.9572,2.5549,-0.4362,13.8545,13.5625,-1.0843,-7.94,-9.336,0.7935,-6.9134,10.2654,2.5214,4.6608,6.7373,-27.5575,11.2422,-13.3633,-4.2889,11.6807,2.4755,4.4187,-7.7501,-1.86,7.3467,-0.5356,-2.0941,11.9067,3.6134,-1.4582,-22.9453,-7.8783,-5.3246,-25.5206,-4.0962,1.7084,15.5194,-1.5331,0.7063,-4.3672,-6.1333,4.794,12.6059,6.3045,0.2831,7.2971,-11.0497
GWPH    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3274,-0.2242,-0.1348,0.135,1.2247,-3.9849,1.1561,0.6857,-0.227,1.2514,-0.5618,26.5537,-7.1429,0.1923,-3.4549,5.2684,17.2805,32.0451,-14.6951,8.649,16.7763,39.1549,16.6397,1.076,9.7527,-4.5995,-4.7885,22.8729,-1.7662,4.1381,-14.689,3.1481,6.6334,10.2512,7.0993,21.0487,-1.1238,1.5706,14.12,10.2692,-0.4527,-8.6243,17.1525,9.8923,3.1203,-10.5235,-16.4447,-6.3933,-7.6908,-4.2487,34.4589,15.0515,-3.9877,-0.4518,-0.8783,0.6794,5.6036,7.5149,20.3721,3.1899,7.7283,-13.4209,-6.8362,1.604,-1.6965,-0.803,7.7081,1.4358,1.2054,-3.8243,1.8291,-3.269,-2.5721,-2.5334,-12.5471,-11.8611,14.6707,1.3467,0.2983,2.2442,4.3898,-1.9253,-5.7988,-0.7266,-3.0106,-2.9902,2.8035,12.1216,-4.2786,0.306,-3.2228,2.6449,4.259,8.7079,-4.6766,2.8917,14.8931,-1.0872,-8.624,5.1122,0.4842,24.8357,6.1404,-9.8099,0.7147,2.1245,3.4077,-1.6886,10.4022,-5.4612,4.2317,0.0483,-0.9742,2.3335,-0.8025,-6.3917,-2.0193,-7.9644,6.3953,-6.9205,4.8002,-6.9757,3.8231,6.5316,-11.9868,-6.845,-4.8987,3.3732,-11.7517,-1.1993,3.5529,0.989,0.7254,1.9085,-1.543,-9.8696,-11.3486,4.4168,-0.4302,-13.7961,-9.138,1.9121,-9.5075,-10.8453,-0.1789,-2.7778,-4.1475,-4.0865,-3.609,89.0796,12.2525,-8.5998,6.8087,3.2626,2.9894,-4.4012
CBPO    US Equity,0.3824,-7.7143,2.8896,-3.5105,11.6424,-9.2179,7.1795,-4.7847,-4.4221,-3.7855,0.1093,-0.1092,1.4208,-1.5086,-1.4223,5.1054,-2.5343,0.7584,3.0108,-15.4489,-2.4691,10.1266,15.5172,-7.8109,-0.4857,1.6269,0.5336,6.2633,9.8901,-3.9545,-2.9106,0.5118,-7.8565,3.1579,-1.9388,-6.3476,6.3333,-0.418,-0.3135,1.0513,0.9375,-0.4128,-0.9326,2.5105,13.4694,-1.0791,8.7273,19.7324,-0.6285,8.9248,0.6452,8.0128,3.7982,8.5763,1.1585,-1.6658,2.6998,-2.8351,-1.4324,11.4101,1.4493,10,10.2165,3.6135,5.1175,-3.7144,0.1498,-1.8325,-5.981,6.8071,-1.7451,2.2394,0.1511,-3.8839,-16.2417,5.7611,-1.1515,3.8978,3.9241,2.6141,5.1355,-4.6923,-0.7264,-4.7967,-1.4518,7.4957,-2.0556,1.893,-2.0194,2.432,12.9175,3.35,-4.2414,6.2297,-3.1186,2.7642,-2.5536,0.3843,2.9238,0.0676,-1.5546,1.8881,-4.6496,3.7809,-4.2901,2.2056,-0.3133,0.1746,0.3834,-3.0469,-0.009,32.6289,-5.185,7.3483,-3.8206,-7.8621,2.3353,5.3248,-0.75,4.646,2.7815,-2.9664,2.2258,4.8793,9.2296,3.7783,5.5605,-0.9824,-10.1752,0.7991,9.2329,-1.8143,2.3261,-3.2292,-0.5708,-0.7507,1.2458,5.2736,10.8746,0.8471,0.3733,0.4092,-2.5005,1.9947,-3.1104,-0.0961,7.6583,7.6854,14.3568,-3.3382,1.3664,1.4368,-2.8475,-2.2997,3.2923,-2.5618,3.4852,-1.1374,-0.4333,2.491,-0.2343,-0.2935,1.7368,11.7622,-0.8414,8.1984,-1.9667,7.7538,4.2147,2.7839,3.2523,-0.8365,2.6765,-0.3956,3.89,-0.4509,7.562,2.3709,6.0449,-7.9686,7.2018,-0.7607,-0.5943,-3.8035,6.5658,-1.1325,4.5991,-2.2475,-8.3438,-11.2834,3.0331,-5.7978,5.7627,-6.6807,-10.6687,11.3421,4.9099,5.8424,2.0603,8.4936,0.9215,-1.6001,5.9125,1.7523,-2.6242,2.2233,5.7011,8.94,1.9246,-8.8095,-3.1406,-0.8821,2.8464,-8.638,-8.8915,9.2723,-0.42,-5.3193,-1.5909,2.7898,-0.8718,4.252,4.6787,2.5089,4.3358,-9.1192
GRFS    US Equity,-2.5316,2.2263,11.9782,5.1864,6.6256,-3.1792,-0.597,4.3544,-0.4317,2.6012,2.6761,3.155,2.5266,3.1128,-1.6352,8.0563,12.3077,1.1591,-3.75,-4.7619,-2.7273,-2.4533,3.5928,4.1618,0,6.5483,1.25,4.5267,2.3622,110.0962,-2.7918,-4.9435,4.2595,-3.7055,1.48,1.7501,2.4367,6.903,-0.3927,7.0521,0.1637,-2.7369,2.9399,6.7319,-7.263,-1.6109,1.7211,0.453,0.943,-5.6052,2.8399,5.7322,-1.2636,-1.646,0.2445,5.8943,2.4184,-0.7496,3.9653,3.5961,3.0856,-1.2925,4.3418,-6.4729,2.4364,-0.6894,3.714,-1.3722,1.5609,-0.2673,-8.2077,-1.6423,-0.0742,1.2254,0.3302,-3.8391,0.7224,7.5123,5.1264,3.2064,-2.589,4.1528,5.1675,-1.3649,-1.7528,-2.2535,-3.0099,2.4761,0.4188,2.8232,-4.9298,-0.3282,-3.8854,3.4601,-0.6623,-0.3,0.1672,9.1121,1.4072,3.5747,-3.1309,2.1948,4.8249,0.8981,-2.8929,11.3148,-0.0772,-0.4636,2.4838,-0.6059,0.3302,0.3797,6.1286,1.7586,-6.0252,2.8827,-3.43,0.4502,-5.4532,0.5267,5.1611,3.7618,-3.5654,1.5312,0.9318,1.1176,9.0101,-1.5429,0.3358,-2.0303,-0.501,-4.6006,-1.5835,2.511,-13.5553,-2.7235,0.509,9.3697,3.293,-1.3948,-4.6476,-1.0066,-5.7533,-0.3407,-12.849,7.7476,4.1262,3.1177,0.7912,1.4017,1.7971,1.1407,-7.6531,-7.0951,11.205,-2.8427,-0.2607,-7.0578,5.4688,0.5037,1.592,-0.7835,1.3454,1.5873,-6.9318,-2.6252,2.0063,2.3049,-0.6008,1.3901,3.1297,-1.0405,-0.993,-6.0177,0.4394,2.625,0.0609,-3.2258,-1.8553,-0.0961,-0.6735,-0.6135,0.1624,1.4596,2.7174,-2.2098,3.2782,1.0169,-1.4033,-6.25,1.1551,0.0979,4.7914,3.7014,-3.8992,-1.0612,2.8076,2.3627,3.9269,0.4038,0.6033,1.1422,-2.5409,0.8111,1.0632,-7.7339,-1.7874,2.9809,-1.2797,-52.4383,-3.1798,0.2011,-2.8763,5.303,-4.0549,3.3401,3.0343,-2.5608,0.8541,-1.1726,-0.6592,2.6543,0.8403,-2.0513,3.9921,-1.0699
SAGE    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.1595,12.5189,0.7059,-8.9453,6.305,-0.2759,-0.4495,-0.7989,-5.2171,10.4174,27.9023,-12.7125,-4.6749,20.9368,1.6896,-1.0225,-8.4711,5.1919,6.0622,10.6474,-18.6971,12.9885,-4.3294,0.6502,14.7028,-14.3951,0.6579,5.5948,-8.4179,10.9219,3.5827,2.2353,-1.0817,10.9586,11.9312,-5.0206,-7.5542,9.6864,16.5532,-2.253,-6.7099,2.4707,4.3758,18.0356,8.5387,7.9471,5.7659,-17.4895,0.1134,-2.4076,5.7466,4.7756,-5.1081,-5.6453,-4.1691,-10.5022,-7.4194,-1.2528,1.903,7.6712,0.119,-19.1916,-3.2997,-6.0204,5.4579,-1.2061,11.4983,3.6233,-15.8886,-1.302,11.2243,6.9288,-5.1372,25.0256,-2.0673,-2.3287,-23.928,-12.2435,2.3895,-15.734,-6.2239,1.7783,-0.5616,-2.9809,9.9935,1.3525,-8.3841,-3.0716,5.4884,12.9142,0.96,6.4385,-3.803
ENDP    US Equity,-2.1141,6.6568,3.7448,0.8824,-2.9155,-3.9039,0.142,2.9787,2.5895,0.1074,-2.7092,4.3562,2.325,-1.1877,-6.9245,-0.5615,1.1575,-5.554,-0.857,-2.0268,2.1296,-6.7024,-4.5977,0.8367,1.1948,1.6071,-3.1311,0.4665,3.1675,-4.2276,1.1749,7.0007,0.7442,-0.9849,-1.088,4.1798,1.5988,-2.9691,-2.9376,-1.86,-2.088,-0.5249,-3.9248,0.3433,-10.6055,2.7172,3.5768,3.1655,-1.3598,-9.438,0.9758,-1.0437,-2.1094,4.7686,2.152,6.3013,9.8913,-5.0431,-1.8824,-3.9397,7.0613,3.431,-1.1916,0.5541,-0.2917,11.0208,0.9663,4.1183,1.5599,3.0719,-6.9452,-1.6872,-1.4543,7.1429,5.3444,1.4121,-2.5013,-2.6977,6.1158,0.4611,-2.9577,-0.1314,3.1571,-6.1209,0,5.8951,5.413,4.9647,1.3216,3.8902,0.4626,-0.1535,-1.1858,-0.8,2.8674,-3.7021,36.8159,7.6364,1.336,1.8185,-1.8604,-3.1544,2.6308,1.0223,-1.5708,8.1172,-0.6103,-6.1117,0.1977,5.4797,3.094,9.5059,1.7463,-7.5921,-3.1453,0.084,-6.4895,-3.9785,-10.7009,-0.1221,5.9029,8.4927,3.3136,5.0611,3.5429,-4.5307,-2.1391,-0.0434,0.84,1.0197,-1.5354,-5.0823,2.2969,1.9033,-1.3279,-6.4478,-0.6955,1.4327,-0.0157,0.361,0.8133,5.0264,3.3235,0.2859,-8.7099,-3.7789,5.5501,2.8905,3.0484,-3.9153,5.9463,4.2308,-2.173,-3.9257,6.1509,0.2192,-1.3805,8.0527,2.6039,-1.4002,0.9383,0.1005,5.421,2.7497,-0.8341,1.6706,0.3447,5.7712,-2.5225,0.422,4.468,-1.1857,-0.075,-8.8131,2.3398,-1.9416,-0.5038,-1.366,-0.2746,-3.5796,4.3333,-3.832,1.4973,1.3411,2.719,0.0117,2.5179,-4.3294,1.2776,-9.6793,2.7281,-7.2427,2.4658,9.5187,-15.9668,3.2249,-9.5553,7.3907,-17.9948,5.9894,-7.818,4.8644,2.3797,4.9857,0.5936,-8.8995,6.8277,2.6221,-2.2357,-12.1529,-2.3243,11.4601,-5.2605,-2.8844,-7.0169,0.3394,5.3323,-19.8338,-0.0943,-29.6226,-0.7038,-3.2062,-1.325,-6.9611,29.0543,-20.5415
AGIO    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0866,4.0222,6.3667,-18.9282,-8.852,14.8431,-1.9572,0.6026,4.3055,19.0955,-25.3767,15.1858,-7.0126,-13.273,-13.6957,-11.335,1.4205,-1.6807,7.4644,3.7646,11.2417,12.5402,-6.2449,19.1554,31.2751,-21.1244,-6.669,7.5614,12.5483,-0.1562,-2.2208,45.3935,-4.5105,2.4424,-16.7341,-4.1599,22.097,-6.1173,0.8606,5.5095,-15.4806,-9.158,1.9862,3.7474,21.7008,11.0072,4.2105,-7.2525,-3.6811,-15.355,-0.7748,2.881,1.8582,-2.261,8.8328,5.4589,5.8635,-5.2791,1.005,10.6061,30.3619,-0.1568,-4.3669,5.5683,25.424,4.2426,-14.2449,16.6528,12.8242,6.2948,5.1681,12.7712,0.0502,-4.3387,-4.0811,16.7274,3.286,-6.5594,-6.2515,-7.2205,10.2278,-10.3332,0.9219,-2.6007,2.5553,0.7559,-10.5307,-2.3292,4.4727,9.2929,-0.6405,-10.5568,13.8082,3.5059,4.6905,3.3455,0.4999,-10.1933,-9.5796,6.0353,4.5932,-0.5614,4.4527,-1.2815,-2.7022,-11.0592,-7.4851,-5.5261,5.8844,-6.7042,8.1551,6.961,-17.4602,-5.8176,-5.1518,-1.7043,-12.9969,18.0493,4.0763,-16.3128,-1.56,10.5331,-10.3693,-13.1685,5.0428,16.9531,-1.6662,-20.3789,-2.5924,7.4479,-21.9593,-9.9953,-0.6316,1.8008,3.3039,11.6092,-9.9504,-9.5465,5.0139,10.3403,13.3158,2.4895,12.2684,-10.2494
INCR    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3943,6.1234,3.479,-3.403,-3.3531,9.2666,4.1399,-3.7823,9.627,-1.3538,-11.9065,-1.8947,-2.5322,6.517,5.8702,16.8684,1.1694,4.9538,3.5872,-2.9769,0.3131,-1.2484,-3.0341,-1.8253,12.1182,-10.2754,9.967,1.7707,2.0053,8.0659,0.7223,5.3121,-1.7402,2.4897,4.5329,3.3541,-3.2221,19.8323,-2.0788,-9.2264,-4.7448,-0.8263,-0.8093,6.4795,7.2121,-12.1715,1.0531,-4.0265,4.2695,-5.5148,4.484,5.5382,1.6129,7.467,2.2675,-7.4654,-2.506,7.1026,3.5789,-1.4024,-7.1738,-3.8197,4.4562,-6.8744,-12.4852,3.8514,2.0632,2.2262,-2.428,8.4146,-3.1945,-1.1,5.1903,3.6654,11.7634,-0.507,-1.8956
HZNP    US Equity,2,-12.9902,12.1127,-6.0302,8.8235,3.1941,-20,4.1667,-1.7143,1.7442,10,-0.7792,8.377,-0.9662,-10.7317,4.918,8.3333,-13.2212,1.662,3.5422,5.7895,-5.2239,3.6745,18.2025,12.8721,35.2941,11.9215,-9.1479,-0.6897,-12.3611,-18.2092,-9.5137,-4.0685,-9.8214,9.901,-8.5586,16.9951,-26.3158,0,-4.5714,-2.0958,-4.5872,-12.8205,-13.9706,-2.1368,0,11.7904,1.1719,-13.1274,5.3333,-0.8439,-2.1277,14.3478,-6.8441,-2.8571,-1.2605,-8.9362,7.9439,4.7619,-10.3306,-7.3733,9.9502,12.2172,1.6129,7.5397,-8.8561,1.6194,-2.7888,1.6393,-4.0323,0,0.8403,0,-1.25,-3.7975,0,7.8947,0,-2.439,3.75,8.4337,-0.7407,-2.2388,-12.5954,-6.5502,23.8318,-4.5283,1.1858,8.2031,23.4657,-2.0468,9.5522,2.4523,-0.266,20.8,-7.2848,15.7143,-5.7613,41.7031,11.2481,-6.2327,-2.3634,6.8835,5.0248,9.5687,4.551,1.2941,-3.252,18.3673,0.3043,3.5389,17.5781,1.495,7.856,-0.2276,31.9392,-14.6398,-4.5915,-14.9328,11.2313,4.0389,2.8756,-7.4074,-2.7925,4.5031,5.4235,2.0437,1.8646,10.0339,-1.6636,1.3784,-5.3152,-8.6162,-0.7143,-37.1223,5.6064,5.5255,-3.6961,9.8081,-6.4078,22.5104,7.536,-5.2756,6.2344,-6.338,-2.5063,5.7412,4.8622,0.3864,-5.6967,-2.6122,7.1249,2.1127,-2.6054,5.7435,-6.0268,1.346,11.6406,7.2778,5.7404,1.3572,-2.9823,5.6462,10.0356,10.7933,6.6975,2.5793,1.3351,-4.2161,19.0738,9.665,8.1987,3.0342,-7.9685,-5.4757,5.105,10.403,1.1856,-0.4934,-1.4874,6.5744,-3.3353,6.4733,3.0685,3.172,0.3236,-0.9409,-10.2307,-7.3458,-5.3834,5.1034,-3.5433,-1.3946,10.1069,-28.6341,-7.331,-7.5793,-1.2301,-11.4686,-7.8546,33.5878,-14.3333,12.7293,7.3471,-7.9927,-5.1922,9.4787,6.4454,-2.0786,-12.3673,-3.2649,2.613,-7.1618,-2,-0.758,7.3443,8.3196,-15.2097,11.025,-24.745,14.2653,8.427,8.2326,-21.383,10.8931,-6.2233
IRWD    US Equity,-9.9415,12.2449,8.0992,7.7217,6.3165,2.47,-3.6482,-0.6761,-4.2206,-3.9801,0.3331,-1.955,0.1505,1.8783,-5.1622,-3.7325,5.7351,-5.8824,2.9221,-11.1199,5.2351,0.253,4.1211,7.6737,8.7772,-4.9655,0.6531,-0.6489,-4.4267,1.8983,-6.7809,-7.8337,6.5915,1.7087,0.24,-2.5539,9.009,6.9121,-10.1897,2.2692,2.5249,-5.7463,-4.1172,-6.441,6.0018,-13.0724,4.2146,-0.7353,3.9815,-4.1852,-0.6506,2.2451,13.2662,18.8207,-8.1577,-1.9245,-1.283,1.682,4.1353,4.6931,3.0345,10.174,14.52,-0.5836,-2.428,-1.9962,1.3951,-2.0914,-12.3665,-6.2861,1.3689,-2.8359,-10.8409,4.053,0.2247,-12.1076,-3.0612,-12.8947,5.5388,6.0115,1.0801,11.2199,0.8006,-7.6251,-11.006,9.1787,3.0973,9.8712,4.9219,-9.9032,-1.0744,-3.7594,-5.5556,-1.6544,-6.2617,-4.3868,-3.6496,7.684,6.3317,7.9395,-1.2259,-5.7624,10.6303,0.9354,1.3479,7.5644,-2.1638,13.4281,-3.4123,-9.2286,9.6108,8.7681,-3.3311,-4.3418,-8.0692,3.8401,-9.6604,-8.0201,-10.5359,6.0914,2.201,10.3933,7.2943,7.668,2.1292,2.9475,1.257,1.1034,2.4898,3.1614,1.2258,-5.3537,-2.6263,6.2241,-5.0781,-7.4074,0.1481,-9.9852,6.327,0.8501,1.6858,-5.049,3.0952,-2.0785,-5.8962,4.8454,5.6574,5.7315,-1.3195,-5.0958,5.4075,0,3.6127,4.6025,-1.4,1.0818,3.5452,-1.1628,2.7451,1.6539,-2.5031,2.6316,-5.2533,3.3003,-1.278,2.3301,-4.6806,10.0863,-5.5455,0.7658,-1.0766,-3.5851,0.2988,-7.8451,2.9454,-0.3489,-3.1513,2.0246,-0.1417,-13.8396,-1.2356,0.2919,0.2911,-5.141,-1.2238,-5.2212,-2.4276,4.7847,5.2511,-4.9892,2.9224,-2.0408,5.2536,0.3442,-11.4923,7.2674,2.6197,1.5845,-2.9463,1.4286,1.0563,3.3972,3.8753,-0.5677,-2.3654,-9.2732,8.2873,-1.3605,-0.0862,-6.8162,-7.2222,-1.497,-6.4843,-8.6674,-0.7117,8.2437,5.7395,13.9875,-0.7326,-5.3506,1.2671,7.796,0.7143,-0.0887,-3.8154,-3.5978
JUNO    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2286,-0.985,12.4767,-7.6101,-17.6306,3.5109,-7.7193,2.7123,12.3396,3.0756,12.6172,-6.3399,24.3281,-8.0124,0.7774,5.8731,7.0707,-12.3724,-20.8966,3.012,-6.0645,7.8626,12.5267,29.8632,-12.2294,-14.8167,-8.8045,15.8979,-3.6468,-2.8818,-0.7715,-2.4721,-10.0981,-10.1637,-4.3786,0.5294,-5.4239,15.7572,4.6176,-8.3218,8.0491,12.88,3.2278,-1.9717,5.1605,-3.9992,0.6239,6.12,6.1628,-6.0004,-16.4117,0.836,0.5602,-2.0276,-17.239,-6.9799,-4.7563,-14.4541,-4.0247,12.1647,19.9731,2.9478,19.3073,-8.5714,-1.4,-6.7444,5.2474,8.2149,5.777,0.3837,-5.3732
PTLA    US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0435,13.5165,-2.9526,3.3915,18.5239,-4.1921,2.4639,-4.8507,2.963,1.3965,-2.9633,-8.9462,3.9679,2.6806,14.292,1.2776,2.1789,-7.9312,12.0683,-18.0203,5.042,-1.1789,-2.0026,7.0435,6.4582,-8.8516,4.6463,-4.36,-2.0494,-3.3305,10.2915,9.6916,1.935,-0.7163,1.0101,-4.75,-3.8245,3.1189,1.5123,-9.162,6.1911,5.0965,3.1227,-11.1151,1.6032,-18.0276,12.9933,-1.8313,2.6898,0.5492,-15.5882,1.4933,8.6807,1.3989,15.6653,15.1212,-2.4398,4.8647,-15.7138,-6.2791,1.0753,1.473,7.0565,-0.791,-5.0494,11.5154,-7.9598,10.9856,-7.6518,0.19,4.7041,-7.1377,1.0535,6.332,3.4858,-3.8947,-2.9938,2.9356,2.8154,5.2276,-4.461,8.6311,-5.1775,-2.0948,6.3837,-10.0231,3.188,0.9588,8.4418,13.396,8.0664,0.7941,9.5588,-2.4449,0.7371,-5.7073,-3.673,4.1622,-1.0054,0.2865,-2.2592,1.78,-2.8713,1.3975,10.8402,1.0282,4.8994,0.8348,1.9915,0.5924,1.2868,13.5013,-3.7943,-2.5044,1.3956,-4.3088,-5.4201,6.2156,-6.1009,9.989,14.3259,-23.058,9.4107,-9.5825,8.0351,1.6243,0.1262,4.8519,-1.9231,0.6944,1.3387,-1.9416,-3.1435,4.3625,2.9887,0.8824,-17.551,-12.1641,-0.8857,-10.5605,-6.2368,-3.6487,-0.4692,-6.431,6.909,-0.9088,-3.1929,-28.8772,5.0321,11.132,1.3525,6.3803,-6.8601
